leiden_resolution	cluster	dataset_id	n_cells	cluster_percentage	median_mt_percentage
leiden_0_1	0	01ad3cd7-3929-4654-84c0-6db05bd5fd59	4	0.007612	0.819033
leiden_0_1	0	093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f	3	0.005709	0.414250
leiden_0_1	0	19e46756-9100-4e01-8b0e-23b557558a4c	820	1.560537	0.000000
leiden_0_1	0	1b9d8702-5af8-4142-85ed-020eb06ec4f6	12	0.022837	0.221069
leiden_0_1	0	1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1	40323	76.738477	0.000000
leiden_0_1	0	242c6e7f-9016-4048-af70-d631f5eea188	25	0.047577	0.370175
leiden_0_1	0	29244e1d-02e6-4133-b411-516ef7474638	15	0.028546	0.034674
leiden_0_1	0	2a498ace-872a-4935-984b-1afa70fd9886	74	0.140829	0.971169
leiden_0_1	0	2f132ec9-24b5-422f-9be0-ccef03b4fe28	1	0.001903	0.700935
leiden_0_1	0	30cd5311-6c09-46c9-94f1-71fe4b91813c	2	0.003806	1.419232
leiden_0_1	0	350237e0-9f48-4cbd-9140-3b44495549f3	3472	6.607544	0.000000
leiden_0_1	0	3c75a463-6a87-4132-83a8-c3002624394d	2	0.003806	1.306779
leiden_0_1	0	3dc61ca1-ce40-46b6-8337-f27260fd9a03	669	1.273170	0.000000
leiden_0_1	0	3faad104-2ab8-4434-816d-474d8d2641db	2	0.003806	0.262209
leiden_0_1	0	53d208b0-2cfd-4366-9866-c3c6114081bc	20	0.038062	2.422868
leiden_0_1	0	576f193c-75d0-4a11-bd25-8676587e6dc2	2103	4.002208	0.000000
leiden_0_1	0	5af90777-6760-4003-9dba-8f945fec6fdf	8	0.015225	1.333196
leiden_0_1	0	5bc42b88-bb76-4954-927b-8bb7369adc64	338	0.643246	0.000000
leiden_0_1	0	5e717147-0f75-4de1-8bd2-6fda01b8d75f	1	0.001903	2.318649
leiden_0_1	0	644a578d-ffdc-446b-9679-e7ab4c919c13	3	0.005709	0.634633
leiden_0_1	0	6c87755e-a671-41a8-9c7e-4e43b850a57b	1	0.001903	1.201201
leiden_0_1	0	74cff64f-9da9-4b2a-9b3b-8a04a1598040	7	0.013322	0.498753
leiden_0_1	0	8c42cfd0-0b0a-46d5-910c-fc833d83c45e	3910	7.441099	0.000000
leiden_0_1	0	9dbab10c-118d-496b-966a-67f1763a6b7d	7	0.013322	1.297498
leiden_0_1	0	9f222629-9e39-47d0-b83f-e08d610c7479	407	0.774559	0.000000
leiden_0_1	0	b0e547f0-462b-4f81-b31b-5b0a5d96f537	15	0.028546	1.565597
leiden_0_1	0	b252b015-b488-4d5c-b16e-968c13e48a2c	2	0.003806	0.403615
leiden_0_1	0	bd65a70f-b274-4133-b9dd-0d1431b6af34	27	0.051384	0.000000
leiden_0_1	0	c2a461b1-0c15-4047-9fcb-1f966fe55100	5	0.009515	1.062925
leiden_0_1	0	c7775e88-49bf-4ba2-a03b-93f00447c958	205	0.390134	0.785714
leiden_0_1	0	cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	19	0.036159	0.000000
leiden_0_1	0	de2c780c-1747-40bd-9ccf-9588ec186cee	2	0.003806	0.911790
leiden_0_1	0	dea717d4-7bc0-4e46-950f-fd7e1cc8df7d	1	0.001903	2.123262
leiden_0_1	0	e84f2780-51e8-4cfa-8aa0-13bbfef677c7	1	0.001903	1.418021
leiden_0_1	0	eb499fd8-7000-419f-8854-926b9b61b11f	2	0.003806	1.476922
leiden_0_1	0	ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3	30	0.057093	0.276952
leiden_0_1	0	fa8605cf-f27e-44af-ac2a-476bee4410d3	8	0.015225	0.094230
leiden_0_1	1	01ad3cd7-3929-4654-84c0-6db05bd5fd59	1520	3.760980	4.631702
leiden_0_1	1	19e46756-9100-4e01-8b0e-23b557558a4c	15	0.037115	0.000000
leiden_0_1	1	1a2e3350-28a8-4f49-b33c-5b67ceb001f6	109	0.269702	3.716734
leiden_0_1	1	1b9d8702-5af8-4142-85ed-020eb06ec4f6	64	0.158357	5.623611
leiden_0_1	1	1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1	545	1.348509	0.000000
leiden_0_1	1	218acb0f-9f2f-4f76-b90b-15a4b7c7f629	10	0.024743	2.918323
leiden_0_1	1	242c6e7f-9016-4048-af70-d631f5eea188	50	0.123716	2.385227
leiden_0_1	1	29244e1d-02e6-4133-b411-516ef7474638	303	0.749722	2.731092
leiden_0_1	1	2a498ace-872a-4935-984b-1afa70fd9886	15	0.037115	2.260739
leiden_0_1	1	30cd5311-6c09-46c9-94f1-71fe4b91813c	289	0.715081	2.670052
leiden_0_1	1	3241c34f-581a-4de3-81fe-28e3de182680	5	0.012372	6.143233
leiden_0_1	1	34f5307e-7b4d-4a48-b68f-2ba844c6414b	1	0.002474	1.027146
leiden_0_1	1	350237e0-9f48-4cbd-9140-3b44495549f3	31	0.076704	0.000000
leiden_0_1	1	3c75a463-6a87-4132-83a8-c3002624394d	868	2.147717	2.531274
leiden_0_1	1	3dc61ca1-ce40-46b6-8337-f27260fd9a03	3	0.007423	0.000000
leiden_0_1	1	3de0ad6d-4378-4f62-b37b-ec0b75a50d94	1	0.002474	13.317384
leiden_0_1	1	3faad104-2ab8-4434-816d-474d8d2641db	1321	3.268588	3.119266
leiden_0_1	1	456e8b9b-f872-488b-871d-94534090a865	3	0.007423	9.390126
leiden_0_1	1	460dfe21-0550-4521-92fe-db0f3036d8b0	159	0.393418	6.138161
leiden_0_1	1	4c6f9f26-5470-455b-8933-c408232fbf56	3	0.007423	2.616431
