cluster,pathway,go_min_level,go_max_level,selected_gene_count,mapped_selected_gene_count,background_size,pathway_size,overlap_count,overlap_genes,gene_ratio,p_value,adjusted_p_value,significant_fdr_0_05
0,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,4,4,75,74,18000,479,15,B2M;NKG7;GZMB;SPON2;CD74;FCER1G;IL2RB;TYROBP;CX3CR1;FCGR3A;PRF1;CCL3;KLRD1;TBX21;PIK3R1,0.20270270270270271,8.25835220962771e-10,4.289388137680633e-6,TRUE
0,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,4,4,75,74,18000,327,12,NKG7;CD74;FCER1G;TYROBP;CX3CR1;FCGR3A;CCL3;CD69;TBX21;PIK3R1;JUNB;PTGER4,0.16216216216216217,8.460338521362372e-9,2.197149913997808e-5,TRUE
0,GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,4,5,75,74,18000,155,9,B2M;NKG7;GZMB;TYROBP;CX3CR1;FCGR3A;PRF1;KLRD1;PIK3R1,0.12162162162162163,1.4136244242661951e-8,2.4474550865462058e-5,TRUE
0,GOBP_REGULATION_OF_HEMOPOIESIS,5,7,75,74,18000,446,13,B2M;ACTB;CD74;TYROBP;ZFP36L2;ZFP36;CCL3;CD69;TBX21;PIK3R1;FOS;JUNB;PRDM1,0.17567567567567569,2.952548048804959e-8,3.55719586323493e-5,TRUE
0,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,5,5,75,74,18000,377,12,B2M;NKG7;GZMB;CD74;FCER1G;IL2RB;TYROBP;FCGR3A;PRF1;KLRD1;TBX21;PIK3R1,0.16216216216216217,4.081936322638172e-8,3.55719586323493e-5,TRUE
0,GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,5,6,75,74,18000,235,10,NKG7;CD74;FCER1G;TYROBP;FCGR3A;CD69;TBX21;PIK3R1;JUNB;PTGER4,0.13513513513513514,4.1091981477492456e-8,3.55719586323493e-5,TRUE
0,GOBP_GRANZYME_MEDIATED_PROGRAMMED_CELL_DEATH_SIGNALING_PATHWAY,4,6,75,74,18000,11,4,NKG7;GZMB;GZMA;PRF1,0.05405405405405406,8.496531834968986e-8,5.848163950017541e-5,TRUE
0,GOBP_T_CELL_DIFFERENTIATION,6,8,75,74,18000,327,11,B2M;ACTB;CD74;FCER1G;ZFP36L2;CD69;TBX21;PIK3R1;JUNB;PRDM1;PTGER4,0.14864864864864866,9.067169266332124e-8,5.848163950017541e-5,TRUE
0,GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,6,7,75,74,18000,139,8,CD74;FCER1G;TYROBP;CD69;TBX21;PIK3R1;JUNB;PTGER4,0.10810810810810811,1.013351473818981e-7,5.848163950017541e-5,TRUE
0,GOBP_RESPONSE_TO_CALCIUM_ION,6,6,75,74,18000,141,8,TXNIP;DUSP1;JUND;FOSB;ALOX5AP;JUN;FOS;JUNB,0.10810810810810811,1.131988792893813e-7,5.879549790290464e-5,TRUE
0,GOBP_ALPHA_BETA_T_CELL_ACTIVATION,6,7,75,74,18000,204,9,NKG7;TRBC1;CD69;CD247;TBX21;PIK3R1;JUNB;PRDM1;PTGER4,0.12162162162162163,1.5120369614185834e-7,6.734633591126704e-5,TRUE
