cluster,pathway,go_min_level,go_max_level,selected_gene_count,mapped_selected_gene_count,background_size,pathway_size,overlap_count,overlap_genes,gene_ratio,p_value,adjusted_p_value,significant_fdr_0_05
0,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,4,4,69,67,18000,479,16,B2M;NKG7;GZMB;FCER1G;PRF1;TYROBP;CCL3;KLRB1;CD74;SPON2;IGKC;FCGR3A;KLRD1;IL2RB;PIK3R1;XCL1,0.23880597014925373,1.5915458656435196e-11,8.266489226152441e-8,TRUE
0,GOBP_REGULATION_OF_HEMOPOIESIS,5,7,69,67,18000,446,15,B2M;ACTB;ZFP36L2;TYROBP;CCL3;CD74;ZFP36;FOS;CD69;NFKBIA;JUNB;LGALS1;PIK3R1;ID2;HMGB2,0.22388059701492538,6.859586257209622e-11,1.5232279579259878e-7,TRUE
0,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,5,5,69,67,18000,377,14,B2M;NKG7;GZMB;FCER1G;PRF1;TYROBP;KLRB1;CD74;IGKC;FCGR3A;KLRD1;IL2RB;PIK3R1;XCL1,0.208955223880597,8.798005147820493e-11,1.5232279579259878e-7,TRUE
0,GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,4,5,69,67,18000,155,10,B2M;NKG7;GZMB;PRF1;TYROBP;KLRB1;FCGR3A;KLRD1;PIK3R1;XCL1,0.14925373134328357,2.7251149349141795e-10,3.538561742986062e-7,TRUE
0,GOBP_MYELOID_CELL_DIFFERENTIATION,5,5,69,67,18000,471,14,B2M;FCER1G;TYROBP;CCL3;CD74;ZFP36;KLF2;FOS;NFKBIA;JUNB;JUN;PIK3R1;ID2;HMGB2,0.208955223880597,1.6033804860953893e-9,1.6439104703967938e-6,TRUE
0,GOBP_RESPONSE_TO_CHEMOKINE,6,6,69,67,18000,93,8,CCL5;CCL4;CCL3;CXCR4;CCL4L2;DUSP1;XCL2;XCL1,0.11940298507462686,1.8990109400039974e-9,1.6439104703967938e-6,TRUE
0,GOBP_CELL_CHEMOTAXIS,5,5,69,67,18000,328,12,TMSB4X;CCL5;CCL4;FCER1G;CCL3;CD74;CXCR4;CCL4L2;DUSP1;XCL2;HMGB2;XCL1,0.1791044776119403,2.681254242519612e-9,1.989490647949552e-6,TRUE
0,GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,6,8,69,67,18000,228,10,B2M;TYROBP;CCL3;CD74;ZFP36;FOS;NFKBIA;PIK3R1;ID2;HMGB2,0.14925373134328357,1.1517282585359847e-8,7.47759571854488e-6,TRUE
0,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,5,5,69,67,18000,390,12,B2M;FCER1G;PRF1;CD74;IGKC;FCGR3A;KLRD1;CD69;JUNB;LGALS1;IL2RB;XCL1,0.1791044776119403,1.852814883584278e-8,1.0692800561485266e-5,TRUE
0,GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,5,8,69,67,18000,184,9,B2M;GNLY;CCL5;CCL4;CCL3;CCL4L2;SPON2;XCL2;XCL1,0.13432835820895522,2.5719194117015414e-8,1.3358549424377806e-5,TRUE
0,GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,6,9,69,67,18000,134,8,B2M;GNLY;CCL5;CCL4;CCL3;CCL4L2;XCL2;XCL1,0.11940298507462686,3.446556962473243e-8,1.566751452329101e-5,TRUE
0,GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS,6,9,69,67,18000,10,4,CCL5;CCL4;CCL3;XCL1,0.05970149253731343,3.61975691720239e-8,1.566751452329101e-5,TRUE
0,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,5,9,69,67,18000,90,7,NKG7;GZMB;TYROBP;KLRB1;FCGR3A;KLRD1;PIK3R1,0.1044776119402985,4.201794210136237e-8,1.6787783944190475e-5,TRUE
0,GOBP_RESPONSE_TO_STEROID_HORMONE,5,6,69,67,18000,342,11,TXNIP;ZFP36L2;SCGB1A1;JUND;ZFP36;DUSP1;FOS;AREG;JUNB;JUN;HMGB2,0.16417910447761194,4.933075195116111e-8,1.8301708973880773e-5,TRUE
