cluster,pathway_rank,pathway
0,1,Leukocyte mediated immunity
0,2,Regulation of hemopoiesis
0,3,Lymphocyte mediated immunity
0,4,Leukocyte mediated cytotoxicity
0,5,Myeloid cell differentiation
0,6,Response to chemokine
0,7,Cell chemotaxis
0,8,Regulation of myeloid cell differentiation
0,9,Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
0,10,Antimicrobial humoral response
0,11,Antimicrobial humoral immune response mediated by antimicrobial peptide
0,12,Natural killer cell chemotaxis
0,13,Natural killer cell mediated immunity
0,14,Response to steroid hormone
0,15,Regulation of leukocyte differentiation
0,16,Granzyme mediated programmed cell death signaling pathway
0,17,Alpha beta t cell activation
0,18,Negative regulation by host of viral transcription
0,19,Leukocyte chemotaxis
0,20,Lymphocyte activation involved in immune response
0,21,Myeloid leukocyte migration
0,22,Cell activation involved in immune response
0,23,Granulocyte chemotaxis
0,24,Regulation of immune effector process
0,25,Myeloid leukocyte differentiation
0,26,Lymphocyte differentiation
0,27,Response to metal ion
0,28,Positive regulation of lymphocyte chemotaxis
0,29,T cell activation involved in immune response
0,30,Eosinophil chemotaxis
0,31,Immune response regulating cell surface receptor signaling pathway
0,32,Regulation of chemotaxis
0,33,Granulocyte migration
0,34,Positive regulation of cell activation
0,35,Humoral immune response
0,36,Negative regulation of cell activation
0,37,Eosinophil migration
0,38,Regulation of lymphocyte chemotaxis
0,39,Regulation of leukocyte migration
0,40,T cell differentiation
0,41,Response to tumor necrosis factor
0,42,Regulation of cell killing
0,43,Negative regulation of lymphocyte activation
0,44,Macrophage activation
0,45,Osteoclast differentiation
0,46,Positive regulation of tumor necrosis factor superfamily cytokine production
0,47,Myeloid leukocyte activation
0,48,Cellular response to metal ion
0,49,Regulation of inflammatory response
0,50,Positive regulation of cell killing
0,51,Regulation of lymphocyte migration
0,52,Regulation of leukocyte chemotaxis
0,53,Negative regulation of hemopoiesis
0,54,Regulation of myeloid leukocyte differentiation
0,55,Response to molecule of bacterial origin
0,56,Tumor necrosis factor superfamily cytokine production
0,57,Response to reactive oxygen species
0,58,Cd4 positive alpha beta t cell activation
0,59,Response to calcium ion
0,60,Positive regulation of chemotaxis
0,61,Regulation of t cell activation
0,62,Regulation of adaptive immune response
0,63,Positive regulation of cytokine production involved in immune response
0,64,Regulation of mononuclear cell migration
0,65,Regulation of lymphocyte differentiation
0,66,Positive regulation of leukocyte migration
0,67,Positive regulation of lymphocyte migration
0,68,Response to corticosteroid
0,69,Mononuclear cell migration
0,70,Positive regulation of leukocyte chemotaxis
0,71,Lymphocyte chemotaxis
0,72,T cell differentiation involved in immune response
0,73,Regulation of erythrocyte differentiation
0,74,Natural killer cell activation
0,75,Homeostasis of number of cells
0,76,Positive regulation of myeloid cell differentiation
0,77,Glial cell activation
0,78,Granulocyte activation
0,79,Lymphocyte migration
0,80,Negative regulation of leukocyte apoptotic process
0,81,Positive regulation of immune effector process
0,82,T cell mediated cytotoxicity
0,83,Cellular response to biotic stimulus
0,84,Positive regulation of protein localization to cell surface
0,85,Myeloid leukocyte mediated immunity
0,86,Regulation of innate immune response
0,87,Negative regulation of cell development
0,88,B cell mediated immunity
0,89,Negative regulation of lymphocyte differentiation
0,90,Positive regulation of myeloid leukocyte differentiation
0,91,Positive regulation of hemopoiesis
0,92,B cell activation
0,93,Cytokine production involved in immune response
0,94,Response to fibroblast growth factor
0,95,Response to muscle stretch
0,96,Negative regulation of adaptive immune response
0,97,Response to oxidative stress
0,98,Regulation of osteoclast differentiation
0,99,Regulation of t helper 17 cell differentiation
0,100,T cell chemotaxis
0,101,Negative regulation of cell adhesion
0,102,Leukocyte cell cell adhesion
0,103,Antigen processing and presentation of exogenous peptide antigen via mhc class ii
0,104,Positive regulation of production of molecular mediator of immune response
0,105,T cell migration
0,106,Cellular response to calcium ion
0,107,B cell differentiation
0,108,Positive regulation of cell development
0,109,Leukocyte degranulation
0,110,Neutrophil chemotaxis
0,111,Negative regulation of sterol transport
