gene_name,state
GZMA,Cytotoxicity
GZMB,Cytotoxicity
GZMH,Cytotoxicity
GZMM,Cytotoxicity
GZMK,Cytotoxicity
GNLY,Cytotoxicity
PRF1,Cytotoxicity
CTSW,Cytotoxicity
CCL2,Inflammatory
CCL3,Inflammatory
CCL4,Inflammatory
CCL5,Inflammatory
CXCL10,Inflammatory
CXCL9,Inflammatory
IL1B,Inflammatory
IL6,Inflammatory
IL7,Inflammatory
IL15,Inflammatory
IL18,Inflammatory
IFNG,Inflammatory
TNF,Inflammatory
BAG3,Stress
CALU,Stress
DNAJB1,Stress
DUSP1,Stress
EGR1,Stress
FOS,Stress
FOSB,Stress
HIF1A,Stress
HSP90AA1,Stress
HSP90AB1,Stress
HSP90B1,Stress
HSPA1A,Stress
HSPA1B,Stress
HSPA6,Stress
HSPB1,Stress
HSPH1,Stress
IER2,Stress
JUN,Stress
JUNB,Stress
NFKBIA,Stress
NFKBIZ,Stress
RGS2,Stress
SLC2A3,Stress
SOCS3,Stress
UBC,Stress
ZFAND2A,Stress
ZFP36,Stress
ZFP36L1,Stress
