leiden_0_4,n_cells,review_decision,reviewed_structured_label,reviewed_label_short,reviewed_label_detail,discrepancy_flags,review_reason,confidence_score,needs_human_review_reviewed,human_review_reason_reviewed
0,49483,revise,cNK_Cytotoxic_activated,cNK_Cytotoxic_FGFBP2+_blood,"Circulating cytotoxic CD56dim-like NKs (FGFBP2+, GZMB/GZMA/PRF1+, FCGR3A+); minor myeloid S100 signature",possible_contamination,"Strong NK/cytotoxic program: high NKG7, GNLY, GZMB, GZMA, GZMH, PRF1, FGFBP2 and FCGR3A with high pct_cluster; top tissue blood. However S100A8/S100A9, LYZ and FCN1 upregulated indicating possible myeloid/neutrophil contamination.",4,True,Elevated S100A8/A9 and other myeloid markers warrant checking cluster purity and protein-level CD56/CD3 to confirm NK identity.
1,8720,revise,NK2_Proliferating,NK2_Proliferating,"Strong cell-cycle/S-G2-M proliferation program (STMN1, MKI67, PCNA, RRM2) in blood; canonical NK markers depleted",weak_pan_nk; lineage_ambiguous,"Top upregulated markers are proliferation/cell-cycle genes (STMN1, RRM2, TYMS, PCNA, MKI67, MCM7, TOP2A) consistent with a proliferating population in blood. Canonical NK-associated genes are not upregulated and some are down (KLRB1, IL2RB, ID2), so NK identity is not strongly supported by marker evidence.",2,True,Very strong proliferation signature but absence/depletion of canonical NK markers — expert review needed to distinguish proliferating NKs versus cycling T or other blood cell populations.
2,47134,revise,cNK_Cytotoxic_activated,cNK_Cytotoxic_FGFBP2+_blood,"Circulating CD56dim-like cytotoxic NKs (NKG7, GNLY, GZMH, FGFBP2, FCGR3A) with high mitochondrial reads; TRBC1 upregulation suggests T-cell contamination/doublets",possible_contamination,"Blood cluster strongly expresses NK/cytotoxic markers (FGFBP2, NKG7, GNLY, GZMH, FCGR3A, S1PR5) consistent with circulating cytotoxic NKs; notable TRBC1 upregulation and high mitochondrial gene signals indicate likely T-cell contamination or doublets and metabolic/stress features.",4,True,Marked TRBC1 expression (TCR) within cluster; recommend checking CD3/TCR and doublet metrics to confirm NK purity
3,12339,revise,Non-NK,CD8_GZMK_T_activated,GZMK+ CD8 T cells (CD3D/CD3G/CD8A high) with activation/heat-shock signature; NK cytotoxic genes depleted,weak_pan_nk,"Strong T cell markers up (CD3D rank2, CD3G rank9, CD8A rank44) and GZMK/IFNG elevated; canonical NK/cytotoxic genes (GNLY, GZMB, PRF1) are strongly downregulated. Some NK-associated receptors (KLRB1, KLRC1) are modestly expressed but overall program indicates CD8 T cells rather than NK.",5,False,
4,26628,revise,trNK_Chemokine_inflammatory,trNK_Chemokine_decidual,"Decidual tissue-resident NK with chemokine/cytokine program (XCL1/2, CCL3/4) and KIR/KLRC1 expression",lineage_ambiguous; possible_contamination,"Strong decidual NK signature: upregulated KLRC1 and multiple KIRs, high XCL1/XCL2 and CCL3/4, low FGFBP2/FCGR3A/S1PR5 consistent with tissue-resident (dNK) phenotype. However abundant keratin/stromal genes (KRT81/KRT86, DCN, LUM) and high TRDC indicate possible non-NK contamination or mixed gamma-delta T cell presence.",3,True,Cluster shows coherent decidual TRNK chemokine program but also strong epithelial/stromal and TRDC signals; recommend inspecting cluster purity and co-expression at single-cell level.
5,10058,revise,Non-NK,T_activated_proliferating_IL2RA+,"Cord-blood proliferating activated T cells (IL2RA, CCR7, IRF4, MKI67) with depleted NK cytotoxic markers",weak_pan_nk; lineage_ambiguous,"High IL2RA (CD25), CCR7, IRF4 and strong cell-cycle program (MKI67, TOP2A, CDK1, TYMS, MCM7) indicate proliferating activated T cells; canonical NK cytotoxic markers (FGFBP2, KLRF1, GZMH, KLRB1) are downregulated. Majority of cells from cord blood.",3,True,Confirm T lineage with CD3/CD4/CD8 or FOXP3 expression and resolve NKG7 presence and occasional myeloid markers (CD68) to exclude doublets/contamination.
6,9557,revise,Non-NK,AT2_SFTPC+_lung,"Alveolar type II epithelial program (SFTPC+, AREG+); depleted NK/T cytotoxic markers",high_mito; epithelial_signature,"Strong epithelial/AT2 signal: SFTPC (rank 17) and AREG, plus lung as top tissue (~47%). Classic NK/T markers (NKG7, GZMA, GZMK, CD3E, IL2RB) are downregulated, arguing against NK identity. Elevated mitochondrial genes (MT-ATP6, MT-ND2, MT-ND3) present.",5,False,
7,1361,revise,Non-NK,Kidney_tubular_MT_high,"Kidney tubular/epithelial-like cells with strong metallothionein, heat-shock and mitochondrial signatures (FXYD2, RBP5, GPX3, APOE up)",possible_contamination,"Cluster from kidney shows epithelial/tubular markers FXYD2, RBP5, GPX3 and APOE with very high metallothionein (MT1*) and mitochondrial transcripts; canonical NK/T markers (IL2RB, CD3E, TRDC, PRF1) are depleted, supporting Non-NK assignment.",5,False,
8,9537,revise,trNK_Chemokine_inflammatory,trNK_Chemokine_CXCR6+_XCL1+,"spleen tissue-resident NK with CXCR6 and XCL1/2, GZMK+, low cytotoxic granzymes",,"Strong upregulation of CXCR6, XCL1/XCL2, KLRB1, CD160, EOMES and GZMK with concurrent depletion of cytotoxic markers (GNLY, GZMB, GZMH, PRF1) and presence in spleen support a tissue-resident, chemokine-producing NK phenotype rather than classical cytotoxic NK.",4,False,
9,24357,revise,Non-NK,stressed_high-mt_non-NK_blood,Strong mitochondrial and ER-stress signature with depleted core NK cytotoxic markers; likely low-quality/stressed blood cells,weak_pan_nk; possible_contamination,"Cluster (blood, 97%) shows strong upregulation of many mitochondrial genes (MT-CO1/2/3, MT-ND1/2/3/4/5/6, MT-CYB, MT-ATP6/8), HSPA5 and lncRNAs (NEAT1/MALAT1). Canonical NK cytotoxic and pan-NK markers (NKG7, GNLY, GZMA, GZMB, ID2) are depleted or not enriched, while a few NK-associated genes (ZEB2, CX3CR1, NKTR) are modestly up — overall consistent with stressed/low-quality non-NK blood cells rather than a clear NK subset.",3,True,"Some NK-associated genes (ZEB2, CX3CR1, NKTR) are present despite broad depletion of pan-NK markers; verify whether this cluster represents stressed/dying NK cells, mixed doublets, or low-quality non-NK cells."
