leiden_0_4,n_cells,top_tissue,top_tissue_percent,top_dataset,top_dataset_percent,top_assay,top_assay_percent,n_pairwise_de_compared,positive_marker_count,positive_marker_list,negative_marker_count,negative_marker_list
0,49483,blood,94.63,218acb0f-9f2f-4f76-b90b-15a4b7c7f629,21.28,10x 5' v1,26.24,1,50,S100A8; B2M; S100A9; IFITM1; S100A4; NKG7; MT-CO2; HLA-B; FGFBP2; MT-ND4L; SPON2; S100A6; MT-CYB; ACTB; MT-CO3; MT-ND5; MT-CO1; RPS26; MT-ND1; MT-ND3; IFITM3; GZMH; MT-ND2; MT-ATP6; GZMB; LYZ; CLIC3; MT-ND4; GNLY; AKR1C3; PRF1; S100A12; PPBP; KLRF1; FTL; FCN1; FCGR3A; FTH1; PRSS23; S1PR5; GZMA; LAIR2; ANXA1; MT-ATP8; MYOM2; IFI6; HSPA5; MT2A; RPS4Y1; PF4,50,JUND; CCL3; COTL1; RGS1; MCL1; CCL4; TRDC; FOSB; CAPG; BTG2; XIST; CD44; SOCS1; TYMS; RHOB; UBE2S; IER5; NR4A1; NFKB1; HSPA1B; IRF8; TRAC; NR4A2; SPRY1; BTG1; CENPM; SAMSN1; PHLDA1; CD82; ITM2C; CCND2; HELLS; DUSP4; CLEC2D; GZMK; TK1; HSPA1A; RGCC; ITGAD; TOX2; CLDND1; DUSP10; SPRY2; H2AX; DENND4A; ENTPD1; SMC4; NUSAP1; CDK1; BCL2
1,8720,blood,97.1,ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,23.19,10x 5' v1,29.12,0,50,STMN1; RRM2; CLSPN; TYMS; PCLAF; TK1; PCNA; CENPU; CENPM; ASF1B; TUBA1B; UBE2C; CKS1B; BIRC5; DUT; MKI67; TUBB; MCM7; HMGN2; TOP2A; ATAD2; HMGB2; CENPF; NUSAP1; CDK1; HELLS; TPX2; SMC4; KNL1; FABP5; GTSE1; CCNB2; CCDC34; MT2A; ACTB; AURKB; PTTG1; H2AC14; H3C7; ASPM; H2AC16; CKS2; VIM; ATAD5; TUBB4B; LMNB1; IFITM1; HMMR; NUF2; CRIP1,50,BTG1; MALAT1; ZFP36L2; MCL1; JUNB; DUSP2; JUND; BTG2; KLRB1; SOCS1; RGS1; TSC22D3; NEAT1; DUSP1; XIST; RHOB; NR4A2; IER2; METRNL; IL2RB; CD69; ZFP36; ID2; CEBPD; FOSL2; SPRY1; IER5; YPEL5; NR4A1; CCL3; C1QA; ITGAD; HSPA1B; SPRY2; BIRC3; PPP1R16B; SPP1; C1QB; PHLDA1; CSF1; REL; APOE; ATP8B4; CXCR4; ELL2; ZNF331; APOC1; CCND2; ID3; B3GNT7
2,47134,blood,93.23,3faad104-2ab8-4434-816d-474d8d2641db,37.68,10x 3' v2,39.91,1,50,IFITM1; FGFBP2; MT-ND5; MT-ND2; MT-CO1; NKG7; MT-ND1; MT-ATP6; KLF2; CRIP1; MT-CYB; MT-ND4; SPON2; MT-CO2; ENSG00000273149.1; MIR142HG; S100A4; GZMH; MT-ND3; PRSS23; MT-CO3; B2M; CCL5; ENSG00000272256.1; ASCL2; CLIC3; FCRL6; ADGRG1; TRBC1; JUN; S1PR5; S100A6; ENSG00000282885.3; MT-ATP8; ENSG00000251131.3; FCGR3A; HLA-B; LINC00299; TXNIP; JUNB; TUBA1A; RPS26; DUSP1; MT-ND4L; KLRF1; AKR1C3; LINC00861; GNLY; RPS19; DCTN6-DT,50,COTL1; CAPG; RGS1; TYMS; IRF8; MKI67; HLA-DRA; CD82; AREG; NR4A1; DUSP4; CENPM; SPRY1; ENTPD1; TK1; ITM2C; HELLS; BIRC3; GZMK; TOP2A; PCLAF; SMC4; NUSAP1; AIF1; CENPF; PDE4B; TPX2; XIST; HSPA1B; ITGAD; XCL1; TOX2; CDK1; CENPU; H1-5; C1QA; ID3; SAMSN1; ASF1B; PTP4A1; DUSP10; UBE2C; BIRC5; C1QB; ITGA1; ADAM19; BANK1; SPP1; CLSPN; APOE
3,12339,spleen,39.65,fd072bc3-2dfb-46f8-b4e3-467cb3223182,70.16,10x 3' v2,47.69,0,50,HSPA1B; CD3D; HSPA6; GZMK; HSPA1A; DNAJB1; HBG2; H2AC19; CD3G; HSPD1; HSPH1; XCL1; DNAJB4; HSP90AA1; HSPE1; IL23R; TRAT1; ID3; CXCR6; DNAJA4; BAG3; NR4A1; IFNG; MT-ND3; MT-CO1; KLRB1; TNFSF14; SLC4A10; HSPB1; SERPINH1; LINC01871; DNAJA1; CA2; FKBP4; HSP90AB1; MT-CO3; CD27; MT-ND4; ZFAND2A; CMC1; LDB2; PLIN2; CHORDC1; CD8A; AIF1; AQP3; KLRC1; MIR181A1HG; PPP1R15A; TNFSF9,50,GNLY; GZMB; FGFBP2; S100A6; SPON2; IGFBP7; CD74; PRF1; B2M; ANXA1; HLA-DPB1; FCGR3A; HLA-DPA1; S100A4; AHNAK; ZFP36L2; LGALS1; SYNE2; ITGAX; ZEB2; PRSS23; HLA-DRA; C1orf162; HLA-DRB1; TXNIP; GNPTAB; FCRL6; ADGRG1; AKR1C3; KLF2; CX3CR1; LYZ; IGKC; TSC22D3; S100A9; KLRF1; S100A8; NEAT1; IGF2R; PTGER2; SERPINB9; PTGDS; HIPK2; SYNGR1; TNFRSF18; HLA-DRB5; LAIR2; CD226; CEBPB; ASCL2
4,26628,decidua,95.61,74cff64f-9da9-4b2a-9b3b-8a04a1598040,51.18,10x 3' v2,93.16,0,50,KRT81; SPINK2; IGFBP2; CAPG; COTL1; KRT86; LINC00996; TNFRSF18; KLRC1; XCL1; SPP1; B3GNT7; RGS1; RNASE1; ITGAD; XCL2; GNLY; KIR2DL4; ACY3; TRDC; CD9; ADGRG3; IFI44L; SRGAP3; TNFRSF4; BCO2; NR4A2; LUM; PRMT9; PLP2; SPTSSB; ID3; MAFF; AREG; CXCL8; C15orf48; KIR2DL3; TMSB4X; C1QA; PTP4A1; CSF1; CCL3; CCL4; KIR2DL1; PHLDA1; RPS19; DCN; ZFHX3; EPAS1; CCL3L3,50,FGFBP2; FCGR3A; TXNIP; SPON2; SYNE2; MT-ND4L; KLF2; S1PR5; ZEB2; CD74; PPP2R5C; SYNE1; MT-ATP8; KLRF1; ADGRG1; RPS4Y1; PRF1; AHNAK; TGFBR3; MT-CO2; CX3CR1; CEP78; UTRN; ATM; PRSS23; LINC00861; CLIC3; MT-ND6; HLA-B; HSP90AA1; MT-CYB; GBP5; MAPRE2; ZBTB16; PDE4D; SPOCK2; CLEC2D; CXCR4; CCL5; MT-ATP6; H1-4; AKR1C3; PREX1; LYAR; GSAP; AOAH; MTSS1; KLRG1; GZMH; ARID5B
5,10058,cord blood,82.44,CB07,82.44,Flex Gene Expression,82.44,0,50,IL2RA; IRF4; CCR7; H1-5; TOX2; HELLS; TYMS; TK1; YBX3; IL12RB2; CDK1; GNA15; CENPJ; ATAD5; MKI67; CENPM; TOP2A; ASF1B; CENPU; OSBP2; TPX2; NUSAP1; HMMR; MCM7; AURKB; PCLAF; NPDC1; CENPP; SLC7A11; CD70; UBE2C; MYC; SNCA; ITM2C; RRM2; TIFA; VLDLR; RNF208; PFKFB3; ELL2; CD68; ELOVL4; VCAM1; CCDC34; AHR; NUF2; CCNB1; CENPE; AIF1; CDC20,50,MALAT1; HLA-B; ACTB; RPS19; NKG7; B2M; NEAT1; TXNIP; ZFP36; KLRF1; FTL; RPS26; SPON2; FGFBP2; BTG1; IFITM1; ZFP36L2; CLIC3; CCL4; MT-ND1; KLRB1; HMGN2; MT-ND2; HLA-DPB1; DUSP1; SLC2A3; SYNE1; HLA-DPA1; ADGRG1; HNRNPH1; HSPA5; GZMH; AREG; CMC1; LINC00861; KLF2; HLA-DRA; FCRL6; CD52; PRSS23; NR4A2; MT-ND3; HLA-DRB1; MT-ND5; ATM; TUBA1A; GOLGA4; C1orf162; TSC22D3; CX3CR1
6,9557,lung,47.17,9f222629-9e39-47d0-b83f-e08d610c7479,44.52,10x 3' v2,47.94,1,50,ENSG00000270240.2; LINC-PINT; FKBP5; AREG; ENSG00000227240.2; LINGO2; FOSL2-AS1; ENSG00000276241.1; TEX14; PLCB1; PRKG1; SYTL3; CCSER1; BNC2; OPRM1; CLVS1; SFTPC; MT-ATP6; ASTL; MT-ND3; LINC00513; APBA2; FTX; SCN1B; APOC1; IL6ST; YES1; PZP; MT-ND2; A2M; ABCB5; ENSG00000273674.6; PELI2; LINC01505; ELL2; DOCK5; MAML2; DAB1; WAKMAR2; CNOT6L; CLASP1; CCL4; ENSG00000278002.1; TLE1; PTPRD; LINC00299; ZBTB16; IGF1R; TAMALIN; FNDC3B,50,HLA-B; COTL1; CD74; CD3E; GNLY; TMSB4X; HLA-DPA1; HLA-DPB1; HLA-DRA; ACTB; IFITM1; IL2RB; VIM; HLA-DRB1; ACTG1; CRIP1; TRDC; GZMA; LGALS1; IL32; CD52; NKG7; TYMS; MKI67; IFI6; CALR; HMGN2; GZMK; CENPM; TK1; CD82; KLRC3; LTB; HELLS; NUSAP1; CENPF; AHNAK; ITGAD; ASF1B; B2M; CDK1; TOP2A; IFI44L; CAPG; PCLAF; NCF1; TPX2; CCND2; CXCR3; H1-5
7,1361,kidney,99.12,5af90777-6760-4003-9dba-8f945fec6fdf,89.57,10x 5' transcription profiling,89.57,0,50,GSTA1; MT1H; MT1G; FXYD2; RBP5; PDZK1IP1; DPYS; GPX3; ADIRF; HSPA1A; SLC6A13; HSPA6; CRYAB; HSPA1B; TMEM176A; MT-ATP8; LGALS2; MT-ND3; MT-CO3; MT-CYB; GPD1; RHOB; MT-CO2; MT-ND4L; MT-ND4; MT-ND2; MT-ND1; APOE; MT-ATP6; DNAJB1; TMEM176B; MT-ND5; PCSK1N; MT-CO1; MT1F; ENSG00000254802.1; HPN; TMEM139; MT1X; MT1E; FTL; HSPB1; IFNG; COX7A1; PROC; CEBPD; RPS4Y1; KLF2; HSPE1; RPS26,50,MALAT1; TMSB4X; IL2RB; NEAT1; IRF1; MCL1; ZFP36; CXCR4; CD44; HSPA5; TNFAIP3; BHLHE40; UTRN; MAP3K8; XIST; SYNE2; MACF1; AHNAK; DDX3X; PIK3R1; VIM; TRDC; CD3E; REL; PPP2R5C; HMGB2; EML4; PRF1; CDC42SE1; ZEB2; FOSB; OGT; NR4A2; H1-4; IKZF3; GNPTAB; BPTF; ZFP36L2; ITGB1; HNRNPH1; JUND; SYNE1; RORA; YPEL5; TPM4; AKAP9; B4GALT1; KMT2C; SYTL3; FOSL2
8,9537,spleen,55.75,644a578d-ffdc-446b-9679-e7ab4c919c13,44.3,10x 3' v2,54.52,0,50,CXCR6; GZMK; CEBPD; CD160; CMC1; KLRB1; MT-ND4; MT-ND2; MT-ND3; MT-CO3; XCL1; BTG1; MT-CYB; MT-CO1; MT-ATP6; MT-ND1; XCL2; MALAT1; SOCS1; PIK3IP1; KLRF1; ADAMTS17; BCO2; HSP90AA1; EOMES; LINC01871; GPM6B; MT-CO2; TOX2; ALOX5AP; TLE1; FKBP5; TMIGD2; CAPN12; SPRY1; KLRC1; LPAR6; NKG7; CD81; SPRY2; LDB2; TNFSF14; HSPA1A; LZTFL1; JAML; RUNX2; P2RX5; RPS19; CCL3-AS1; DKK3,50,GNLY; GZMB; S100A4; S100A6; LGALS1; FGFBP2; CD52; AHNAK; GZMH; CRIP1; VIM; IGFBP7; FCGR3A; ANXA1; SYNE2; PRF1; BHLHE40; CX3CR1; PRSS23; ZEB2; ADGRG1; TNFAIP3; PDE4D; ACTB; FTH1; ITGAX; KLF2; CD55; SERPINB9; MTSS1; CD74; MYOM2; SELL; SYNE1; LYAR; MAPRE2; JUNB; TGFBR3; TIMP1; AKR1C3; IFI6; LAIR2; JUN; CD44; VCL; ITGB1; RAP1GAP2; CALR; CCL5; SPON2
9,24357,blood,97.44,ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,16.75,10x 5' v1,51.51,0,50,MT-ND4L; MT-CO1; MT-CO2; MT-ND5; SYNE1; MT-CYB; SYNE2; MT-ATP8; MT-CO3; MT-ATP6; AHNAK; MT-ND6; MACF1; ZEB2; MT-ND1; UTRN; TGFBR3; HSPA5; S100A8; PARP15; ATM; MT-ND3; NEAT1; MALAT1; ADGRG1; CX3CR1; VCL; P2RY8_ENSG00000182162; MT-ND2; CEP78; DIP2A; TNFAIP3; DDX3Y; S100A9; MT-ND4; UTY; RAP1GAP2; MAPRE2; IGKV3-20; GK5; NKTR; GOLGA4; PRF1; RANBP2; IGLV3-25; ANKRD36C; ZNF292; SORL1; BLTP1; SLFN5,50,TMSB4X; RPS19; KLRB1; FTH1; FTL; CMC1; NKG7; B2M; LGALS1; CCL4; ID2; S100A4; TRDC; RPS26; ACTG1; CD52; CRIP1; CCL3; COTL1; TRBC1; BAX; HSPE1; MT2A; XCL2; RGS1; HMGN2; S100A11; GZMA; S100A6; ISG15; DDIT4; HMGB2; ALOX5AP; BTG1; HSPB1; XCL1; CAPG; GNLY; H4C3; CREM; SOCS1; CKS2; ACTB; CCL4L2; IL32; JUND; GZMB; DUSP2; CEBPD; DUT
