leiden_0_4,cellxgene_annotation,n_cells,percent_of_cluster,annotation_class
0,natural killer cell,37553,75.89,NK
0,"CD16-positive, CD56-dim natural killer cell, human",11149,22.53,NK
0,"CD16-negative, CD56-bright natural killer cell, human",637,1.29,NK
0,T,46,0.09,T
0,B,43,0.09,B
0,"decidual natural killer cell, human",25,0.05,NK
0,CD56^dim Late Cytokine-Stimulated NK,11,0.02,NK
0,pre-natural killer cell,6,0.01,NK
0,CD56^dim Activated Mature Cytotoxic NK,4,0.01,NK
0,Proliferative NK,4,0.01,NK
0,CD56^dim Resting Mature Cytotoxic NK,3,0.01,NK
0,CD56^dim Early Cytokine-Stimulated NK,2,0.0,NK
1,natural killer cell,7987,91.59,NK
1,"CD16-positive, CD56-dim natural killer cell, human",645,7.4,NK
1,"CD16-negative, CD56-bright natural killer cell, human",41,0.47,NK
1,"decidual natural killer cell, human",14,0.16,NK
1,T,11,0.13,T
1,Proliferative NK,9,0.1,NK
1,CD56^dim Late Cytokine-Stimulated NK,6,0.07,NK
1,CD56^dim Resting Mature Cytotoxic NK,4,0.05,NK
1,CD56^dim Early Cytokine-Stimulated NK,3,0.03,NK
2,natural killer cell,26641,56.52,NK
2,"CD16-positive, CD56-dim natural killer cell, human",19301,40.95,NK
2,"CD16-negative, CD56-bright natural killer cell, human",953,2.02,NK
2,T,99,0.21,T
2,CD56^dim Late Cytokine-Stimulated NK,49,0.1,NK
2,CD56^dim Resting Mature Cytotoxic NK,28,0.06,NK
2,"decidual natural killer cell, human",25,0.05,NK
2,CD56^dim Activated Mature Cytotoxic NK,23,0.05,NK
2,Proliferative NK,12,0.03,NK
2,B,2,0.0,B
2,CD56^dim Early Cytokine-Stimulated NK,1,0.0,NK
3,natural killer cell,10345,83.84,NK
3,T,1546,12.53,T
3,"CD16-negative, CD56-bright natural killer cell, human",310,2.51,NK
3,"decidual natural killer cell, human",45,0.36,NK
3,"CD16-positive, CD56-dim natural killer cell, human",38,0.31,NK
3,immature natural killer cell,22,0.18,NK
3,CD56^dim Late Cytokine-Stimulated NK,15,0.12,NK
3,Proliferative NK,7,0.06,NK
3,CD56^dim Early Cytokine-Stimulated NK,5,0.04,NK
3,B,3,0.02,B
3,CD56^dim Activated Mature Cytotoxic NK,2,0.02,NK
3,CD56^dim Resting Mature Cytotoxic NK,1,0.01,NK
4,"decidual natural killer cell, human",24672,92.65,NK
4,natural killer cell,1203,4.52,NK
4,CD56^dim Late Cytokine-Stimulated NK,341,1.28,NK
4,T,104,0.39,T
4,Proliferative NK,89,0.33,NK
4,CD56^dim Early Cytokine-Stimulated NK,85,0.32,NK
4,CD56^dim Activated Mature Cytotoxic NK,53,0.2,NK
4,"CD16-negative, CD56-bright natural killer cell, human",39,0.15,NK
4,"CD16-positive, CD56-dim natural killer cell, human",35,0.13,NK
4,CD56^bright Transitional Cytotoxic NK,7,0.03,NK
5,CD56^dim Early Cytokine-Stimulated NK,5667,56.34,NK
5,Proliferative NK,2597,25.82,NK
5,"CD16-negative, CD56-bright natural killer cell, human",726,7.22,NK
5,natural killer cell,491,4.88,NK
5,"CD16-positive, CD56-dim natural killer cell, human",475,4.72,NK
5,B,45,0.45,B
5,CD56^dim Late Cytokine-Stimulated NK,25,0.25,NK
5,"decidual natural killer cell, human",21,0.21,NK
5,T,8,0.08,T
5,CD56^dim Activated Mature Cytotoxic NK,3,0.03,NK
6,natural killer cell,8989,94.06,NK
6,"CD16-positive, CD56-dim natural killer cell, human",474,4.96,NK
6,"CD16-negative, CD56-bright natural killer cell, human",39,0.41,NK
6,CD56^dim Resting Mature Cytotoxic NK,22,0.23,NK
6,"decidual natural killer cell, human",15,0.16,NK
6,T,6,0.06,T
6,CD56^bright Transitional Cytotoxic NK,4,0.04,NK
6,B,3,0.03,B
6,CD56^dim Early Cytokine-Stimulated NK,2,0.02,NK
6,CD56^dim Activated Mature Cytotoxic NK,1,0.01,NK
6,CD56^dim Late Cytokine-Stimulated NK,1,0.01,NK
6,Proliferative NK,1,0.01,NK
7,natural killer cell,1355,99.56,NK
7,B,3,0.22,B
7,"CD16-positive, CD56-dim natural killer cell, human",3,0.22,NK
8,natural killer cell,7775,81.52,NK
8,"CD16-negative, CD56-bright natural killer cell, human",1576,16.53,NK
8,"CD16-positive, CD56-dim natural killer cell, human",78,0.82,NK
8,T,47,0.49,T
