leiden_0_4,n_cells,top_tissue,top_tissue_percent,top_dataset,top_dataset_percent,top_assay,top_assay_percent,cellxgene_annotation_n_cells,cellxgene_pct_NK,cellxgene_pct_T,cellxgene_pct_B,yuntao_annotation_n_cells,top_yuntao_annotation,top_yuntao_annotation_percent,yuntao_annotation_composition,final_structured_label,free_label,free_label_reason,needs_human_review,human_review_reason,n_pairwise_de_compared,positive_marker_count,positive_marker_list,negative_marker_count,negative_marker_list
0,49483,blood,94.63,218acb0f-9f2f-4f76-b90b-15a4b7c7f629,21.28,10x 5' v1,26.24,49483,99.82,0.09,0.09,49483,Mature Cytotoxic,81.5,"Mature Cytotoxic: 40,327 (81.5%); Proliferative: 5,085 (10.28%); Transitional Cytotoxic: 3,142 (6.35%); Unknown_Lung_3: 267 (0.54%); T: 224 (0.45%); Unconventional: 206 (0.42%)",NK1_Cytotoxic_activated,NK1_cytotoxic_activated_possible_myeloid_contamination,"Strong NK cytotoxic signature (high GNLY, NKG7, FGFBP2, GZMH) and taxonomy match to NK1; state match Cytotoxic_activated. However, strong myeloid markers S100A8/S100A9/LYZ and many mitochondrial genes indicate possible contamination or stressed cells. Pairwise split audit: Pairwise DE and cluster markers support NK1 Cytotoxic_activated identity (high GNLY, NKG7, FGFBP2, GZMH) while showing myeloid marker signal (S100A8, S100A9, LYZ) and elevated mitochondrial/stress genes. Pairwise comparison to cluster 23 preserves NK cytotoxic program but highlights myeloid/stress features unique to cluster 0, consistent with possible myeloid contamination or stressed NK cells.",True,"Mixed signals: clear NK cytotoxic program vs strong myeloid marker expression and depleted EOMES/NCAM1 — require human curation to resolve contamination vs true biology.; Epithelial markers are highly enriched in cluster 23 and could reflect ambient contamination, doublets, or true tissue-resident NK transcriptional interaction; recommend manual QC (doublet detection / ambient RNA assessment) and contextual review.",1,50,S100A8; B2M; S100A9; IFITM1; S100A4; NKG7; MT-CO2; HLA-B; FGFBP2; MT-ND4L; SPON2; S100A6; MT-CYB; ACTB; MT-CO3; MT-ND5; MT-CO1; RPS26; MT-ND1; MT-ND3; IFITM3; GZMH; MT-ND2; MT-ATP6; GZMB; LYZ; CLIC3; MT-ND4; GNLY; AKR1C3; PRF1; S100A12; PPBP; KLRF1; FTL; FCN1; FCGR3A; FTH1; PRSS23; S1PR5; GZMA; LAIR2; ANXA1; MT-ATP8; MYOM2; IFI6; HSPA5; MT2A; RPS4Y1; PF4,50,JUND; CCL3; COTL1; RGS1; MCL1; CCL4; TRDC; FOSB; CAPG; BTG2; XIST; CD44; SOCS1; TYMS; RHOB; UBE2S; IER5; NR4A1; NFKB1; HSPA1B; IRF8; TRAC; NR4A2; SPRY1; BTG1; CENPM; SAMSN1; PHLDA1; CD82; ITM2C; CCND2; HELLS; DUSP4; CLEC2D; GZMK; TK1; HSPA1A; RGCC; ITGAD; TOX2; CLDND1; DUSP10; SPRY2; H2AX; DENND4A; ENTPD1; SMC4; NUSAP1; CDK1; BCL2
1,8720,blood,97.1,ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,23.19,10x 5' v1,29.12,8720,99.87,0.13,0.0,8720,Proliferative,91.42,"Proliferative: 7,972 (91.42%); Mature Cytotoxic: 461 (5.29%); Transitional Cytotoxic: 152 (1.74%); T: 58 (0.67%); Unknown_Lung_3: 36 (0.41%); Unknown_Lung_6: 13 (0.15%)",cNK_Proliferating,cNK_Proliferating_cycling_cytotoxic_NK,"Strong, specific proliferation program (MKI67, TOP2A, PCNA, TYMS, RRM2, etc.) and taxonomy state match = Proliferating; pan-NK markers (GNLY, NKG7, GZMA/B, PRF1, FCGR3A, KLRF1) are broadly detected and NK cytotoxic module is high, and cluster is blood-enriched, consistent with circulating NKs undergoing cell cycle.",True,T-lineage marker positivity (CD3 genes) despite strong NK marker expression and proliferation signature warrants inspection for doublets/annotation ambiguity.,0,50,STMN1; RRM2; CLSPN; TYMS; PCLAF; TK1; PCNA; CENPU; CENPM; ASF1B; TUBA1B; UBE2C; CKS1B; BIRC5; DUT; MKI67; TUBB; MCM7; HMGN2; TOP2A; ATAD2; HMGB2; CENPF; NUSAP1; CDK1; HELLS; TPX2; SMC4; KNL1; FABP5; GTSE1; CCNB2; CCDC34; MT2A; ACTB; AURKB; PTTG1; H2AC14; H3C7; ASPM; H2AC16; CKS2; VIM; ATAD5; TUBB4B; LMNB1; IFITM1; HMMR; NUF2; CRIP1,50,BTG1; MALAT1; ZFP36L2; MCL1; JUNB; DUSP2; JUND; BTG2; KLRB1; SOCS1; RGS1; TSC22D3; NEAT1; DUSP1; XIST; RHOB; NR4A2; IER2; METRNL; IL2RB; CD69; ZFP36; ID2; CEBPD; FOSL2; SPRY1; IER5; YPEL5; NR4A1; CCL3; C1QA; ITGAD; HSPA1B; SPRY2; BIRC3; PPP1R16B; SPP1; C1QB; PHLDA1; CSF1; REL; APOE; ATP8B4; CXCR4; ELL2; ZNF331; APOC1; CCND2; ID3; B3GNT7
2,47134,blood,93.23,3faad104-2ab8-4434-816d-474d8d2641db,37.68,10x 3' v2,39.91,47134,99.79,0.21,0.0,47134,Mature Cytotoxic,89.56,"Mature Cytotoxic: 42,211 (89.56%); Transitional Cytotoxic: 2,095 (4.44%); Proliferative: 1,827 (3.88%); T: 265 (0.56%); Unknown_Lung_3: 244 (0.52%); Unconventional: 219 (0.46%)",NK1_Cytotoxic_activated,NK1_Cytotoxic_activated_FGFBP2+_GZMH+_blood,"Strong positive DE of NK cytotoxic program genes (FGFBP2, GZMH, NKG7, GNLY) and taxonomy matching (NK1 strong). Top DE and curated marker means show high NK_cytotoxic and individual cytotoxic genes; cluster is blood-enriched supporting circulating cytotoxic NKs. Pairwise split audit: Pairwise DE and cluster summaries support circulating cytotoxic NKs: strong NK cytotoxic program (FGFBP2, GZMH, NKG7, GNLY; curated NK_cytotoxic mean 3.69), top tissue = blood (93% of cells). The pairwise comparison shows absence of lung-specific epithelial markers that define cluster 23; mitochondrial differences dominate some DE but reflect tissue/batch differences rather than loss of NK identity.",True,TRBC1 positivity and pervasive mitochondrial upregulation raise the possibility of T-cell contamination/doublets or technical stress; recommend manual review to confirm true NK lineage and exclude artifacts.; Pairwise DE supports a distinct free label.,1,50,IFITM1; FGFBP2; MT-ND5; MT-ND2; MT-CO1; NKG7; MT-ND1; MT-ATP6; KLF2; CRIP1; MT-CYB; MT-ND4; SPON2; MT-CO2; ENSG00000273149.1; MIR142HG; S100A4; GZMH; MT-ND3; PRSS23; MT-CO3; B2M; CCL5; ENSG00000272256.1; ASCL2; CLIC3; FCRL6; ADGRG1; TRBC1; JUN; S1PR5; S100A6; ENSG00000282885.3; MT-ATP8; ENSG00000251131.3; FCGR3A; HLA-B; LINC00299; TXNIP; JUNB; TUBA1A; RPS26; DUSP1; MT-ND4L; KLRF1; AKR1C3; LINC00861; GNLY; RPS19; DCTN6-DT,50,COTL1; CAPG; RGS1; TYMS; IRF8; MKI67; HLA-DRA; CD82; AREG; NR4A1; DUSP4; CENPM; SPRY1; ENTPD1; TK1; ITM2C; HELLS; BIRC3; GZMK; TOP2A; PCLAF; SMC4; NUSAP1; AIF1; CENPF; PDE4B; TPX2; XIST; HSPA1B; ITGAD; XCL1; TOX2; CDK1; CENPU; H1-5; C1QA; ID3; SAMSN1; ASF1B; PTP4A1; DUSP10; UBE2C; BIRC5; C1QB; ITGA1; ADAM19; BANK1; SPP1; CLSPN; APOE
3,12339,spleen,39.65,fd072bc3-2dfb-46f8-b4e3-467cb3223182,70.16,10x 3' v2,47.69,12339,87.45,12.53,0.02,12339,T,72.45,"T: 8,940 (72.45%); Transitional Cytotoxic: 1,013 (8.21%); Unconventional: 979 (7.93%); Mature Cytotoxic: 843 (6.83%); Unknown_Kidney: 326 (2.64%); Proliferative: 168 (1.36%)",Non-NK,CD3+_T_cells_with_IFNG_GZMK_inflammatory_and_ER_stress_signature_likely_T_lineage_not_NK,"Strong T-lineage markers (CD3D, CD3G, TRBC1, CD3E, TRAC) are highly upregulated (logFC >1). Canonical pan-NK cytotoxic markers are strongly depleted (GNLY, GZMB, PRF1, NCAM1, KLRF1). Cluster also shows upregulation of IFNG and GZMK and heat-shock/UPR genes (HSPA1A/B, DNAJB1) consistent with an activated/inflammatory T cell with stress signature. Taxonomy hits suggesting NK states are moderate but contradicted by clear T marker enrichment; no pairwise DE available.",False,,0,50,HSPA1B; CD3D; HSPA6; GZMK; HSPA1A; DNAJB1; HBG2; H2AC19; CD3G; HSPD1; HSPH1; XCL1; DNAJB4; HSP90AA1; HSPE1; IL23R; TRAT1; ID3; CXCR6; DNAJA4; BAG3; NR4A1; IFNG; MT-ND3; MT-CO1; KLRB1; TNFSF14; SLC4A10; HSPB1; SERPINH1; LINC01871; DNAJA1; CA2; FKBP4; HSP90AB1; MT-CO3; CD27; MT-ND4; ZFAND2A; CMC1; LDB2; PLIN2; CHORDC1; CD8A; AIF1; AQP3; KLRC1; MIR181A1HG; PPP1R15A; TNFSF9,50,GNLY; GZMB; FGFBP2; S100A6; SPON2; IGFBP7; CD74; PRF1; B2M; ANXA1; HLA-DPB1; FCGR3A; HLA-DPA1; S100A4; AHNAK; ZFP36L2; LGALS1; SYNE2; ITGAX; ZEB2; PRSS23; HLA-DRA; C1orf162; HLA-DRB1; TXNIP; GNPTAB; FCRL6; ADGRG1; AKR1C3; KLF2; CX3CR1; LYZ; IGKC; TSC22D3; S100A9; KLRF1; S100A8; NEAT1; IGF2R; PTGER2; SERPINB9; PTGDS; HIPK2; SYNGR1; TNFRSF18; HLA-DRB5; LAIR2; CD226; CEBPB; ASCL2
4,26628,decidua,95.61,74cff64f-9da9-4b2a-9b3b-8a04a1598040,51.18,10x 3' v2,93.16,26628,99.61,0.39,0.0,26628,Transitional Cytotoxic,92.99,"Transitional Cytotoxic: 24,761 (92.99%); Proliferative: 1,018 (3.82%); Cytokine-Stimulated: 426 (1.6%); T: 154 (0.58%); Mature Cytotoxic: 104 (0.39%); Unknown_Lung_3: 93 (0.35%)",NK2_Chemokine_inflammatory,NK2_Chemokine_inflammatory_decidual_chemokine-producing_NK,"Strong enrichment of chemokine/regulatory NK markers (XCL1, XCL2, KLRC1) and taxonomy top-match NK2; marker program hits include XCL1/XCL2/CCL3/CCL4. Pan-NK summary shows broadly preserved NK program (median pan-NK logFC positive, high pct_nz). Negative DE for cytotoxic NK genes (FGFBP2, FCGR3A) supports a non-cytotoxic, regulatory/chemokine NK phenotype in tissue.",True,"Mixed lineage signals: although NK2/chemokine program is strong (XCL1/XCL2/KLRC1), sizable stromal/epithelial marker enrichment (LUM, DCN, COL1A1) and T marker presence raise concern for doublets or mis-clustering; recommend manual inspection (UMAP, protein/ADTs if available) and filtering.",0,50,KRT81; SPINK2; IGFBP2; CAPG; COTL1; KRT86; LINC00996; TNFRSF18; KLRC1; XCL1; SPP1; B3GNT7; RGS1; RNASE1; ITGAD; XCL2; GNLY; KIR2DL4; ACY3; TRDC; CD9; ADGRG3; IFI44L; SRGAP3; TNFRSF4; BCO2; NR4A2; LUM; PRMT9; PLP2; SPTSSB; ID3; MAFF; AREG; CXCL8; C15orf48; KIR2DL3; TMSB4X; C1QA; PTP4A1; CSF1; CCL3; CCL4; KIR2DL1; PHLDA1; RPS19; DCN; ZFHX3; EPAS1; CCL3L3,50,FGFBP2; FCGR3A; TXNIP; SPON2; SYNE2; MT-ND4L; KLF2; S1PR5; ZEB2; CD74; PPP2R5C; SYNE1; MT-ATP8; KLRF1; ADGRG1; RPS4Y1; PRF1; AHNAK; TGFBR3; MT-CO2; CX3CR1; CEP78; UTRN; ATM; PRSS23; LINC00861; CLIC3; MT-ND6; HLA-B; HSP90AA1; MT-CYB; GBP5; MAPRE2; ZBTB16; PDE4D; SPOCK2; CLEC2D; CXCR4; CCL5; MT-ATP6; H1-4; AKR1C3; PREX1; LYAR; GSAP; AOAH; MTSS1; KLRG1; GZMH; ARID5B
5,10058,cord blood,82.44,CB07,82.44,Flex Gene Expression,82.44,10058,99.47,0.08,0.45,10058,Cytokine-Stimulated,56.59,"Cytokine-Stimulated: 5,692 (56.59%); Proliferative: 3,664 (36.43%); Unknown_Lung_4: 234 (2.33%); Mature Cytotoxic: 164 (1.63%); Transitional Cytotoxic: 121 (1.2%); T: 47 (0.47%)",L6_Developmental_immature_Proliferating,Developmental_immature_Proliferating_cord_blood,"Strong, specific proliferation program (MKI67, TOP2A, TYMS, CDK1, MCM7) with immature/lymphoid/activation markers (IL2RA, CCR7, IRF4, TOX2) consistent with proliferating developmental/immature NKs in cord blood. Weak NK2 support via CCR7 and MYC context; pan-NK cytotoxic markers KLRF1 and NKG7 are depleted but many pan-NK markers remain detected, so best call is developmental/immature NK in a proliferative state, with possible T-lineage signal needing review.",True,"T-cell markers (TRAC, CD3E) are positive while key NK cytotoxic markers are depleted; confirm whether this cluster represents proliferating immature NKs vs proliferating T cells or doublets in cord blood.",0,50,IL2RA; IRF4; CCR7; H1-5; TOX2; HELLS; TYMS; TK1; YBX3; IL12RB2; CDK1; GNA15; CENPJ; ATAD5; MKI67; CENPM; TOP2A; ASF1B; CENPU; OSBP2; TPX2; NUSAP1; HMMR; MCM7; AURKB; PCLAF; NPDC1; CENPP; SLC7A11; CD70; UBE2C; MYC; SNCA; ITM2C; RRM2; TIFA; VLDLR; RNF208; PFKFB3; ELL2; CD68; ELOVL4; VCAM1; CCDC34; AHR; NUF2; CCNB1; CENPE; AIF1; CDC20,50,MALAT1; HLA-B; ACTB; RPS19; NKG7; B2M; NEAT1; TXNIP; ZFP36; KLRF1; FTL; RPS26; SPON2; FGFBP2; BTG1; IFITM1; ZFP36L2; CLIC3; CCL4; MT-ND1; KLRB1; HMGN2; MT-ND2; HLA-DPB1; DUSP1; SLC2A3; SYNE1; HLA-DPA1; ADGRG1; HNRNPH1; HSPA5; GZMH; AREG; CMC1; LINC00861; KLF2; HLA-DRA; FCRL6; CD52; PRSS23; NR4A2; MT-ND3; HLA-DRB1; MT-ND5; ATM; TUBA1A; GOLGA4; C1orf162; TSC22D3; CX3CR1
6,9557,lung,47.17,9f222629-9e39-47d0-b83f-e08d610c7479,44.52,10x 3' v2,47.94,9557,99.91,0.06,0.03,9557,Mature Cytotoxic,33.6,"Mature Cytotoxic: 3,211 (33.6%); Unknown_Lung_3: 3,041 (31.82%); Transitional Cytotoxic: 1,530 (16.01%); Developmental: 782 (8.18%); T: 579 (6.06%); Unconventional: 161 (1.68%)",NK2_Chemokine_inflammatory,NK2_Chemokine_inflammatory_AREG+_cytotoxic_mito_stress,"Taxonomy hits (IL7R core, AREG support) point to NK2; state hit CCL4 supports Chemokine_inflammatory. Strong NK cytotoxic program present in curated means (NKG7, GNLY, GZMB, PRF1) despite modest median pan-NK logFC. Top DE shows AREG, FKBP5, CCL4 and elevated mitochondrial genes, consistent with activated/stressed chemokine-producing NK subset. However, erythroid markers (HBB, HBA1/2) are also enriched, suggesting contamination or mixed signal. Pairwise split audit: Pairwise DE (6_vs_13) shows strong enrichment of canonical circulating/cytotoxic NK markers (FGFBP2, FCGR3A, KLRF1) and AREG/LINC‑PINT in cluster 6 vs cluster 13, together with elevated mitochondrial genes and FKBP5/CCL4 in top DE and curated means. These signatures indicate a chemokine-producing NK2-like population with retained cytotoxic program and mitochondrial stress, distinct from the XCL1/XCL2+ IFN/tissue-resident profile of cluster 13. Note: erythroid markers (HBB, HBA1/2) are detected and suggest possible contamination that should be considered.",True,"Erythroid gene co-expression and strong mitochondrial/stress signature could reflect doublets, ambient RNA, or stressed NK cells; NK2/Chemokine_inflammatory assignment is plausible but uncertain and should be validated.; Cluster 6 shows erythroid marker signal; cluster 13 shows CD3E/T signal — review for doublets/contamination and confirm tissue-residency assignment with orthogonal markers.",1,50,ENSG00000270240.2; LINC-PINT; FKBP5; AREG; ENSG00000227240.2; LINGO2; FOSL2-AS1; ENSG00000276241.1; TEX14; PLCB1; PRKG1; SYTL3; CCSER1; BNC2; OPRM1; CLVS1; SFTPC; MT-ATP6; ASTL; MT-ND3; LINC00513; APBA2; FTX; SCN1B; APOC1; IL6ST; YES1; PZP; MT-ND2; A2M; ABCB5; ENSG00000273674.6; PELI2; LINC01505; ELL2; DOCK5; MAML2; DAB1; WAKMAR2; CNOT6L; CLASP1; CCL4; ENSG00000278002.1; TLE1; PTPRD; LINC00299; ZBTB16; IGF1R; TAMALIN; FNDC3B,50,HLA-B; COTL1; CD74; CD3E; GNLY; TMSB4X; HLA-DPA1; HLA-DPB1; HLA-DRA; ACTB; IFITM1; IL2RB; VIM; HLA-DRB1; ACTG1; CRIP1; TRDC; GZMA; LGALS1; IL32; CD52; NKG7; TYMS; MKI67; IFI6; CALR; HMGN2; GZMK; CENPM; TK1; CD82; KLRC3; LTB; HELLS; NUSAP1; CENPF; AHNAK; ITGAD; ASF1B; B2M; CDK1; TOP2A; IFI44L; CAPG; PCLAF; NCF1; TPX2; CCND2; CXCR3; H1-5
7,1361,kidney,99.12,5af90777-6760-4003-9dba-8f945fec6fdf,89.57,10x 5' transcription profiling,89.57,1361,99.78,0.0,0.22,1361,Unknown_Kidney,98.31,"Unknown_Kidney: 1,338 (98.31%); Mature Cytotoxic: 11 (0.81%); Unknown_Lung_3: 8 (0.59%); B: 3 (0.22%); Transitional Cytotoxic: 1 (0.07%)",cNK_ER_stress_UPR,Stressed_kidney_epithelial_likely_tubular_cells,"Top positive DE genes are epithelial/kidney-associated and stress/mitochondrial: FXYD2, GSTA1, GPX3, PDZK1IP1, APOE and strong mitochondrial genes (MT-*) and heat-shock genes (HSPA1A/HSPA1B/DNAJB1). Non-NK marker summary matched Stromal_Epithelial (KRT8, KRT19). Pan-NK markers are overall depleted (strong depletion of NCAM1, EOMES, PRF1), and taxonomy hit indicates ER_stress_UPR support. Together these indicate an epithelial, stressed cell population rather than an NK subtype.",True,"Conflicting signals: robust epithelial/stress DE and KRT8/KRT19 vs elevated curated GNLY/NKG7 means. Recommend review for doublets, ambient cytotoxic transcript contamination, and validation of epithelial marker expression at single-cell level.",0,50,GSTA1; MT1H; MT1G; FXYD2; RBP5; PDZK1IP1; DPYS; GPX3; ADIRF; HSPA1A; SLC6A13; HSPA6; CRYAB; HSPA1B; TMEM176A; MT-ATP8; LGALS2; MT-ND3; MT-CO3; MT-CYB; GPD1; RHOB; MT-CO2; MT-ND4L; MT-ND4; MT-ND2; MT-ND1; APOE; MT-ATP6; DNAJB1; TMEM176B; MT-ND5; PCSK1N; MT-CO1; MT1F; ENSG00000254802.1; HPN; TMEM139; MT1X; MT1E; FTL; HSPB1; IFNG; COX7A1; PROC; CEBPD; RPS4Y1; KLF2; HSPE1; RPS26,50,MALAT1; TMSB4X; IL2RB; NEAT1; IRF1; MCL1; ZFP36; CXCR4; CD44; HSPA5; TNFAIP3; BHLHE40; UTRN; MAP3K8; XIST; SYNE2; MACF1; AHNAK; DDX3X; PIK3R1; VIM; TRDC; CD3E; REL; PPP2R5C; HMGB2; EML4; PRF1; CDC42SE1; ZEB2; FOSB; OGT; NR4A2; H1-4; IKZF3; GNPTAB; BPTF; ZFP36L2; ITGB1; HNRNPH1; JUND; SYNE1; RORA; YPEL5; TPM4; AKAP9; B4GALT1; KMT2C; SYTL3; FOSL2
8,9537,spleen,55.75,644a578d-ffdc-446b-9679-e7ab4c919c13,44.3,10x 3' v2,54.52,9537,99.44,0.49,0.06,9537,T,45.28,"T: 4,318 (45.28%); Unconventional: 3,699 (38.79%); Mature Cytotoxic: 528 (5.54%); B: 459 (4.81%); Transitional Cytotoxic: 352 (3.69%); Unknown_Lung_3: 131 (1.37%)",NK2_Chemokine_inflammatory,NK2_chemokine-rich_low-cytotoxic_tissue-associated,"Cluster shows strong positive expression of chemokine/tissue-associated NK markers (CXCR6, XCL1, XCL2, KLRB1) and GZMK, while classic cytotoxic pan-NK genes are depleted (GNLY, GZMB, PRF1). Taxonomy matching: NK2 (strong) and Chemokine_inflammatory (moderate). No strong non-NK lineage signal.",True,"Ambiguity between NK2 and tissue-resident (trNK) identity due to strong CXCR6 and tissue enrichment; recommend orthogonal marker checks (e.g., CD49a, CD69, KIRs) or protein data to confirm.",0,50,CXCR6; GZMK; CEBPD; CD160; CMC1; KLRB1; MT-ND4; MT-ND2; MT-ND3; MT-CO3; XCL1; BTG1; MT-CYB; MT-CO1; MT-ATP6; MT-ND1; XCL2; MALAT1; SOCS1; PIK3IP1; KLRF1; ADAMTS17; BCO2; HSP90AA1; EOMES; LINC01871; GPM6B; MT-CO2; TOX2; ALOX5AP; TLE1; FKBP5; TMIGD2; CAPN12; SPRY1; KLRC1; LPAR6; NKG7; CD81; SPRY2; LDB2; TNFSF14; HSPA1A; LZTFL1; JAML; RUNX2; P2RX5; RPS19; CCL3-AS1; DKK3,50,GNLY; GZMB; S100A4; S100A6; LGALS1; FGFBP2; CD52; AHNAK; GZMH; CRIP1; VIM; IGFBP7; FCGR3A; ANXA1; SYNE2; PRF1; BHLHE40; CX3CR1; PRSS23; ZEB2; ADGRG1; TNFAIP3; PDE4D; ACTB; FTH1; ITGAX; KLF2; CD55; SERPINB9; MTSS1; CD74; MYOM2; SELL; SYNE1; LYAR; MAPRE2; JUNB; TGFBR3; TIMP1; AKR1C3; IFI6; LAIR2; JUN; CD44; VCL; ITGB1; RAP1GAP2; CALR; CCL5; SPON2
9,24357,blood,97.44,ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,16.75,10x 5' v1,51.51,24357,99.78,0.16,0.06,24357,Transitional Cytotoxic,88.43,"Transitional Cytotoxic: 21,539 (88.43%); Mature Cytotoxic: 2,327 (9.55%); Proliferative: 183 (0.75%); Unconventional: 133 (0.55%); T: 101 (0.41%); Unknown_Lung_1: 22 (0.09%)",NK1_Checkpoint_exhausted,Myeloid-like_S100A8_S100A9_LYZ_with_high_mitochondrial_gene_expression,"Cluster shows clear positive myeloid marker signal (S100A8, S100A9, LYZ; median positive logFC ~1.59) and multiple myeloid markers passing logFC>=1. Pan-NK markers are strongly depleted (GZMA, NKG7, EOMES, KLRF1; median pan-NK logFC = -1.02). The top positive genes are dominated by mitochondrial genes (MT-CO1, MT-CO2, MT-CYB, MT-ND*), consistent with a high-mitochondrial / stress signature rather than an NK subtype program. Taxonomy matches (CX3CR1, ZEB2) are weak and do not overcome the strong myeloid signal and pan-NK depletion.",True,Confirm that myeloid marker expression is not driven solely by ambient RNA or dying-cell mitochondrial reads (check percent mito per cell and QC); validate LYZ/S100A8/S100A9 expression distribution and rule out mixed NK/myeloid doublets or annotation artifacts.,0,50,MT-ND4L; MT-CO1; MT-CO2; MT-ND5; SYNE1; MT-CYB; SYNE2; MT-ATP8; MT-CO3; MT-ATP6; AHNAK; MT-ND6; MACF1; ZEB2; MT-ND1; UTRN; TGFBR3; HSPA5; S100A8; PARP15; ATM; MT-ND3; NEAT1; MALAT1; ADGRG1; CX3CR1; VCL; P2RY8_ENSG00000182162; MT-ND2; CEP78; DIP2A; TNFAIP3; DDX3Y; S100A9; MT-ND4; UTY; RAP1GAP2; MAPRE2; IGKV3-20; GK5; NKTR; GOLGA4; PRF1; RANBP2; IGLV3-25; ANKRD36C; ZNF292; SORL1; BLTP1; SLFN5,50,TMSB4X; RPS19; KLRB1; FTH1; FTL; CMC1; NKG7; B2M; LGALS1; CCL4; ID2; S100A4; TRDC; RPS26; ACTG1; CD52; CRIP1; CCL3; COTL1; TRBC1; BAX; HSPE1; MT2A; XCL2; RGS1; HMGN2; S100A11; GZMA; S100A6; ISG15; DDIT4; HMGB2; ALOX5AP; BTG1; HSPB1; XCL1; CAPG; GNLY; H4C3; CREM; SOCS1; CKS2; ACTB; CCL4L2; IL32; JUND; GZMB; DUSP2; CEBPD; DUT
