leiden_0_4,marker_direction,marker_rank,gene,scores,logfoldchanges,pvals_adj,pct_nz_group,pct_nz_reference
0,up,1,S100A8,189.52959,3.1093013,0.0,0.4268940848372168,0.1030175996530664
0,up,2,B2M,173.64603,0.94921297,0.0,0.999737283511509,0.9891113440063604
0,up,3,S100A9,169.83658,2.7723222,0.0,0.4248327708505952,0.124773228289545
0,up,4,IFITM1,165.16331,2.5151708,0.0,0.8270517147303115,0.559911098261718
0,up,5,S100A4,163.37201,1.8944665,0.0,0.9345027585231293,0.738820425716454
0,up,6,NKG7,160.60698,1.5776359,0.0,0.9939575207647072,0.8807126594629757
0,up,7,MT-CO2,145.23648,2.8835373,0.0,0.9951498494432433,0.6603809041957284
0,up,8,HLA-B,141.31055,1.4925793,0.0,0.9835499060283328,0.8604965487333309
0,up,9,FGFBP2,136.52888,2.2076252,0.0,0.7916254067053331,0.4504499295291099
0,up,10,MT-ND4L,132.57498,2.2697103,0.0,0.7783279105955581,0.4396769180730729
0,up,11,SPON2,130.18622,1.9901634,0.0,0.7396681688660752,0.4386758700444508
0,up,12,S100A6,129.71706,1.59193,0.0,0.8386112402239153,0.6297567850818546
0,up,13,MT-CYB,125.46655,2.3712347,0.0,0.9581068245660126,0.6233240576777132
0,up,14,ACTB,124.44854,1.377687,0.0,0.9936543863549098,0.9208991362798598
0,up,15,MT-CO3,122.53688,2.4704816,0.0,0.98199381605804,0.6551588305446135
0,up,16,MT-ND5,116.55137,1.8966792,0.0,0.8549400804316634,0.5419753532579235
0,up,17,MT-CO1,116.02872,2.7305012,0.0,0.9924014307944142,0.6689133027357161
0,up,18,RPS26,112.66831,1.6410481,0.0,0.9016429885011014,0.6826063387662173
0,up,19,MT-ND1,105.49733,1.8734759,0.0,0.8745225633045692,0.5582342524664812
0,up,20,MT-ND3,105.46015,1.9360914,0.0,0.8969545096295698,0.5852661631310758
0,up,21,IFITM3,104.73342,1.6128051,0.0,0.5149647353636603,0.3062014383289364
0,up,22,GZMH,104.57952,1.5536045,0.0,0.7012307257037771,0.480774095623577
0,up,23,MT-ND2,103.403534,1.8452349,0.0,0.8795950124285108,0.5696143977449315
0,up,24,MT-ATP6,102.66244,2.0120964,0.0,0.933047713356102,0.6311734306674858
0,up,25,GZMB,98.08987,1.421542,0.0,0.919204575308692,0.7340139496223483
0,up,26,LYZ,93.600174,1.6123426,0.0,0.3035587979710203,0.1372664522424198
0,up,27,CLIC3,93.22878,1.3824979,0.0,0.6303376917325142,0.4199739799790394
0,up,28,MT-ND4,91.48371,1.7035207,0.0,0.9023503021239616,0.627678797296809
0,up,29,GNLY,89.27557,1.5735213,0.0,0.9651597518339632,0.8118282678616602
0,up,30,AKR1C3,83.3932,1.4124595,0.0,0.2873107936058848,0.1374326912652235
0,up,31,PRF1,83.0557,1.0252837,0.0,0.8884667461552452,0.7715767409923747
0,up,32,S100A12,82.422966,2.66003,0.0,0.0744902289675242,0.0140616529941093
0,up,33,PPBP,80.34117,2.5629945,0.0,0.080391245478245,0.0173502945321817
0,up,34,KLRF1,79.75375,1.1821116,0.0,0.6954711719176283,0.4838350619782444
0,up,35,FTL,79.60863,0.91364324,0.0,0.9609764969787604,0.8618915109681616
0,up,36,FCN1,78.44272,2.2044635,0.0,0.0892629792049794,0.0218785009576813
